NumTasks,TaskId,TimeInQueue,ExecTime,TimeSinceStart
30,1,0,11,11
30,0,0,168,168
30,4,0,3,171
30,3,157,19,188
30,2,11,182,193
30,6,5,24,218
30,5,19,164,352
30,8,134,3,355
30,7,24,171,389
30,11,0,3,392
30,12,3,3,395
30,10,33,20,409
30,9,3,186,542
30,14,133,1,544
30,13,16,183,592
30,15,1,174,718
30,18,0,3,722
30,17,126,24,743
30,19,3,24,747
30,16,48,161,753
30,20,24,13,760
30,21,6,20,773
30,23,12,11,784
30,25,0,2,786
30,24,11,20,804
30,26,20,11,815
30,27,11,19,835
30,28,0,24,840
30,29,19,24,860
30,22,7,166,927
